1,26.2,54.7,2.08778625954198
2,22.78,35.2,1.54521510096576
3,244.35,223.2,0.913443830570902
6,66.67,78.3,1.1744412779361
7,7.55,56.6,7.49668874172185
8,129.82,162.9,1.25481435834232
9,3.27,47.7,14.5871559633028
10,79.01,66.2,0.837868624224782
11,95.93,78.7,0.8203898676118
12,37.4,30.6,0.818181818181818
13,89.35,86.5,0.968102965864578
14,235.24,242.3,1.03001190273763
15,105.14,105.3,1.00152178048317
17,28.62,28.1,0.981830887491265
18,53.41,46.4,0.868751170192848
19,32.92,64.3,1.95321992709599
20,105.64,80.8,0.764861794774706
22,93.52,82.1,0.877887082976903
23,113.98,92.7,0.813300579048956
24,155.35,283,1.82169295140006
