1,-85.28,-53.92,31.36,1.437,21
2,43.4,43.83,-0.43,-0.767,25
3,-241.37,-237.02,4.34999999999999,-2.438,230
4,48.89,44.77,4.12,0.567,311
5,-168.16,-177.62,-9.46000000000001,-1.809,244
6,117.32,96.56,20.76,1.621,152
7,-71.94,-64.96,6.98,0.699,3.8
8,199.91,199.44,0.469999999999999,1.797,67
9,-57.84,-50.01,7.83000000000001,-0.287,241
10,71.1,0,71.1,1.181,312
11,-100.75,-94.11,6.64,-1.636,48
12,38.26,34.48,3.78,0.189,326
13,-105.19,-108.68,-3.49000000000001,1.163,224
14,236.12,263.61,-27.49,2.286,103
15,-131.69,-125.51,6.17999999999999,-1.763,255
16,152.24,157.69,-5.44999999999999,-1.874,27
17,-35.23,-32.18,3.05,0.395,326
18,54.19,50,4.19,0.229,336
19,-84.75,-68.09,16.66,0.773,260
20,104.26,107.98,-3.72,1.421,78
